sample_id,stratum,conversation_id,user_index,tool_calls,coding_status,failure_class,severity_1_3,preventability_0_3,rationale,counterfactual,source_snapshot_file
1,GEN,6a8dba58-6848-83eb-9131-c5d6878f7dbc,47,1,NO_CLEAR_MISTAKE,,,,No clear avoidable assistant tool-use mistake established from the bounded episode.,,01_GEN_6a8dba58-6848-83eb-9131-c5d6878f7dbc_47.txt
2,UE,6a8b7098-e3e0-83eb-9152-ed954f59a188,1,227,NO_CLEAR_MISTAKE,,,,No clear avoidable assistant tool-use mistake established from the bounded episode.,,02_UE_6a8b7098-e3e0-83eb-9152-ed954f59a188_1.txt
3,UE,6a8caad8-e210-83eb-a219-8da8a49b0e99,1593,5,NO_CLEAR_MISTAKE,,,,No clear avoidable assistant tool-use mistake established from the bounded episode.,,03_UE_6a8caad8-e210-83eb-a219-8da8a49b0e99_1593.txt
4,GEN,6a8d8620-5c54-83eb-a18e-6848adf69061,384,11,NO_CLEAR_MISTAKE,,,,No clear avoidable assistant tool-use mistake established from the bounded episode.,,04_GEN_6a8d8620-5c54-83eb-a18e-6848adf69061_384.txt
5,GEN,6a8f00b5-bea8-83ed-ad33-931feafe15a2,256,12,MISTAKE,CAPABILITY_STATE_NOT_CHECKED,1,3,Recommended wait_ms as a remedy without first verifying that the capability already existed.,Inspect current tool/schema/capability state before proposing a missing-feature fix.,05_GEN_6a8f00b5-bea8-83ed-ad33-931feafe15a2_256.txt
6,UE,6a8bd880-85dc-83eb-b6b2-1dbed8e04b9b,634,6,CONTROL,,,,CONTROL: route-search 502 was not counted; assistant switched evidence route and did not fabricate local proof.,,06_UE_6a8bd880-85dc-83eb-b6b2-1dbed8e04b9b_634.txt
7,GEN,6a8f38d6-2e30-83ed-a69f-fdd85df241a3,733,13,MISTAKE,SCOPE_EXPANSION_INTENT_INFERENCE,2,2,Converted a request for one canonical historical corpus into an automatic future-download/intake queue that the user did not want.,Separate preservation of the historical analysis corpus from any future-ingestion policy; do not invent recurring intake.,07_GEN_6a8f38d6-2e30-83ed-a69f-fdd85df241a3_733.txt
8,UE,6a8d346a-1b44-83ed-b148-965f6046e732,869,62,NO_CLEAR_MISTAKE,,,,No clear avoidable assistant tool-use mistake established from the bounded episode.,,08_UE_6a8d346a-1b44-83ed-b148-965f6046e732_869.txt
9,GEN,6a8e2bf2-ae64-83eb-ba42-8642953fc96c,35,1,MISTAKE,TEMPORAL_SCOPE_LEAKAGE,2,3,Used Aug 27 repair-era instruction text as evidence for the pre-break good state the user was trying to reconstruct.,Apply the requested temporal boundary in retrieval/filtering before ranking evidence.,09_GEN_6a8e2bf2-ae64-83eb-ba42-8642953fc96c_35.txt
10,UE,6a8dd459-dbcc-83eb-a251-24f5d65212fb,170,3,NO_CLEAR_MISTAKE,,,,No clear avoidable assistant tool-use mistake established from the bounded episode.,,10_UE_6a8dd459-dbcc-83eb-a251-24f5d65212fb_170.txt
11,UE,6a8cfe9d-3140-83ed-82cf-a6e36b695559,17,3,MISTAKE,RETRIEVAL_ROUTE_ERROR,1,3,Initially treated a direct Library-path lookup failure as seed/bootstrap failure; later corrected after rediscovery/search.,Use Library search/list to resolve current file identity before direct read when path identity is not established.,11_UE_6a8cfe9d-3140-83ed-82cf-a6e36b695559_17.txt
12,UE,6a8b6ed7-80dc-83eb-810f-783a705e48d8,415,9,MISTAKE,INTENT_ACTION_UNRESOLVED,3,3,Interpreted queue pressure as permission to pause all five workers and executed five scheduler updates; next user turn clarified they should be redirected.,"Before multi-worker mutation, resolve action verb + target + destination from the user request/inherited task; if not established, do not mass-update.",12_UE_6a8b6ed7-80dc-83eb-810f-783a705e48d8_415.txt
13,GEN,6a8dba58-6848-83eb-9131-c5d6878f7dbc,17,2,NO_CLEAR_MISTAKE,,,,No clear avoidable assistant tool-use mistake established from the bounded episode.,,13_GEN_6a8dba58-6848-83eb-9131-c5d6878f7dbc_17.txt
14,GEN,6a8d300e-91a8-83eb-b1ca-303a261c7806,9,5,MISTAKE,UNNECESSARY_TOOL_USE,1,3,"User asked to send exactly the literal text busy_list, but the episode made five unrelated tool calls before sending it.",Literal output-only requests should bypass tool execution unless execution is explicitly requested.,14_GEN_6a8d300e-91a8-83eb-b1ca-303a261c7806_9.txt
15,UE,6a8d735b-1fb0-83eb-9d4f-bd6e4824b391,252,2,CONTROL,,,,CONTROL: Unreal preflight timeout was localized to Test-P3WorkerEditorPreflight.ps1; runtime proof was withheld and decisive log named.,,15_UE_6a8d735b-1fb0-83eb-9d4f-bd6e4824b391_252.txt
