sample2_id,seed,stratum,conversation_id,user_index,tool_calls,coding_status,failure_class,severity_1_3,preventability_0_3,rationale,counterfactual,local_sample_file
1,1742,GEN,6a8f88c3-9a70-83ed-8347-aa71b3ccd274,39,47,NO_CLEAR_MISTAKE,,,,No clear avoidable assistant tool-use mistake established from the bounded episode.,,01_GEN_6a8f88c3-9a70-83ed-8347-aa71b3ccd274_39.txt
2,1742,UE,6a8ded7b-f560-83ed-95da-87de52f15754,709,6,NO_CLEAR_MISTAKE,,,,No clear avoidable assistant tool-use mistake established from the bounded episode.,,02_UE_6a8ded7b-f560-83ed-95da-87de52f15754_709.txt
3,1742,UE,6a8d2d6d-ba20-83eb-a57a-144f48f18f66,61,6,NO_CLEAR_MISTAKE,,,,No clear avoidable assistant tool-use mistake established from the bounded episode.,,03_UE_6a8d2d6d-ba20-83eb-a57a-144f48f18f66_61.txt
4,1742,UE,6a8b7654-f558-83eb-9b83-f7a0ca8d4181,1221,35,CONTROL,,,,CONTROL: existing Chain Lightning build was left untouched when process state could not be safely resolved; no duplicate build/runtime was launched.,,04_UE_6a8b7654-f558-83eb-9b83-f7a0ca8d4181_1221.txt
5,1742,GEN,6a8b7983-f52c-83eb-b3a7-d657f58f904d,772,11,CONTROL,,,,CONTROL: shell route was genuinely stuck even for cmd echo; assistant made no mutations and released claims rather than fabricating completion.,,05_GEN_6a8b7983-f52c-83eb-b3a7-d657f58f904d_772.txt
6,1742,UE,6a8b8012-f740-83ed-9e05-58b0bf0f6d3b,102,199,CONTROL,,,,"CONTROL: canonical build success was kept separate from runtime visual proof, which remained explicitly unproven.",,06_UE_6a8b8012-f740-83ed-9e05-58b0bf0f6d3b_102.txt
7,1742,GEN,6a8dd459-dbcc-83eb-a251-24f5d65212fb,250,43,NO_CLEAR_MISTAKE,,,,No clear avoidable assistant tool-use mistake established from the bounded episode.,,07_GEN_6a8dd459-dbcc-83eb-a251-24f5d65212fb_250.txt
8,1742,GEN,6a8ce720-9460-83ed-83ea-f5a4da4fbaba,74,3,NO_CLEAR_MISTAKE,,,,"BOUNDARY: episode corrects a previously shown wrong contact sheet; the sampled episode itself does not re-deliver an uninspected image, so the prior mistake is not attributed to this episode.",,08_GEN_6a8ce720-9460-83ed-83ea-f5a4da4fbaba_74.txt
9,1742,GEN,6a8d7404-7d40-83eb-b781-5dae114903a4,109,2,NO_CLEAR_MISTAKE,,,,No clear avoidable assistant tool-use mistake established from the bounded episode.,,09_GEN_6a8d7404-7d40-83eb-b781-5dae114903a4_109.txt
10,1742,GEN,6a8bcbbe-b2bc-83eb-a71c-1b730fa3507c,22,12,NO_CLEAR_MISTAKE,,,,No clear avoidable assistant tool-use mistake established from the bounded episode.,,10_GEN_6a8bcbbe-b2bc-83eb-a71c-1b730fa3507c_22.txt
11,1742,GEN,6a8d073d-e144-83ed-9e3a-87b56ccf1209,88,2,NO_CLEAR_MISTAKE,,,,No clear avoidable assistant tool-use mistake established from the bounded episode.,,11_GEN_6a8d073d-e144-83ed-9e3a-87b56ccf1209_88.txt
12,1742,UE,6a8ef7bd-9c90-83ed-a3cb-189356bdd3ce,970,69,NO_CLEAR_MISTAKE,,,,No clear avoidable assistant tool-use mistake established from the bounded episode.,,12_UE_6a8ef7bd-9c90-83ed-a3cb-189356bdd3ce_970.txt
13,1742,UE,6a8b6ed7-80dc-83eb-810f-783a705e48d8,1588,62,NO_CLEAR_MISTAKE,,,,No clear avoidable assistant tool-use mistake established from the bounded episode.,,13_UE_6a8b6ed7-80dc-83eb-810f-783a705e48d8_1588.txt
14,1742,GEN,6a8f37eb-e6f8-83eb-802a-90ad3d8924ca,371,5,NO_CLEAR_MISTAKE,,,,"ADJACENT_NON_TOOL: next user said slopwall after a 6.6k-character research synthesis, but the user explicitly requested online research; this is retained as a response-synthesis/presentation failure, not forced into the tool-use numerator.",,14_GEN_6a8f37eb-e6f8-83eb-802a-90ad3d8924ca_371.txt
15,1742,UE,6a8d5245-bab0-83eb-8c63-9bcf2baa0a67,1,14,NO_CLEAR_MISTAKE,,,,No clear avoidable assistant tool-use mistake established from the bounded episode.,,15_UE_6a8d5245-bab0-83eb-8c63-9bcf2baa0a67_1.txt
16,1742,GEN,6a8f37e3-01a4-83eb-b16a-c323d262c9b1,110,20,CONTROL,,,,CONTROL: current episode corrected the earlier unsupported CONNECTOR_DROPS=6 claim using exact request/response evidence rather than defending it.,,16_GEN_6a8f37e3-01a4-83eb-b16a-c323d262c9b1_110.txt
17,1742,GEN,6a8ded7b-f560-83ed-95da-87de52f15754,69,1,CONTROL,,,,"CONTROL: memory retrieval was caveated as latest returned saved entry, not claimed to be the actual latest occurrence.",,17_GEN_6a8ded7b-f560-83ed-95da-87de52f15754_69.txt
